0	0	0	46	0	0	58	0	48	0	0	63	48	0	73
0	0	60	0	0	0	46	0	0	0	0	0	0	58	64
0	60	0	83	0	73	0	71	0	71	0	60	0	0	0
46	0	83	0	0	56	39	97	0	0	74	0	60	0	98
0	0	0	0	0	0	0	0	96	0	0	0	0	61	0
0	0	73	56	0	0	32	72	0	77	0	0	37	0	95
58	46	0	39	0	32	0	70	63	0	60	0	35	76	0
0	0	71	97	0	72	70	0	0	94	0	0	0	72	0
48	0	0	0	96	0	63	0	0	0	97	0	66	0	0
 0	0	71	0	0	77	0	94	0	0	54	63	0	0	0
0	0	0	74	0	0	60	0	97	54	0	54	38	0	0
63	0	60	0	0	0	0	0	0	63	54	0	0	81	97
48	0	0	60	0	37	35	0	66	0	38	0	0	56	43
0	58	0	0	61	0	76	72	0	0	0	81	56	0	73
73	64	0	98	0	95	0	0	0	0	0	97	43	73	0
